u.nom_usuario;m.tit_musica;r.nota_avaliacao;r.data_avaliacao
[Adriana Cunha];[Ordinary World];10;2024-09-07
[Adriana Cunha];[Orinoco Flow];5;2021-09-28
[Adriana Cunha];[Orion];6;2024-08-19
[Adriana Cunha];[Our Town];5;2022-02-26
[Adriana Cunha];[Out Of Sight];8;2024-11-09
[Adriana Cunha];[Outlaw Blues];5;2025-02-19
[Adriana Cunha];[Outlaw Torn];5;2022-02-22
[Adriana Cunha];[Outside the Wall];5;2020-07-31
[Adriana Cunha];[Over the Mountain];5;2023-01-29
[Adriana Cunha];[Oxford Town];8;2023-09-22
[Adriana Cunha];[P.Y.T. (Pretty Young Thing)];5;2024-01-09
[Adriana Cunha];[Pa s Tropical];6;2022-12-04
[Adriana Cunha];[Packt Like Sardines in a Crushd Tin Box];5;2022-03-12
[Adriana Cunha];[Paint The Sky With Stars];5;2022-01-24
[Adriana Cunha];[Pale Shelter];6;2022-11-09
[Adriana Cunha];[Palisades Park];7;2021-12-25
[Adriana Cunha];[Palo Alto];5;2021-01-26
[Adriana Cunha];[Papa's Got A Brand New Bag];5;2024-06-03
[Adriana Cunha];[Paparazzi];5;2024-06-01
[Adriana Cunha];[Paper Gangsta];6;2020-12-31
[Adriana Cunha];[Paper Thin];5;2024-06-06
[Adriana Cunha];[Parachutes];5;2021-10-15
[Adriana Cunha];[Paradise];6;2023-05-25
[Adriana Cunha];[Parallel Universe];5;2021-05-18
[Adriana Cunha];[Paranoid Android];5;2025-08-12
[Adriana Cunha];[Part of Me];8;2022-10-10
[Adriana Cunha];[Party];9;2021-04-04
[Adriana Cunha];[Paschendale];7;2021-09-01
[Adriana Cunha];[Patience];5;2025-04-20
[Adriana Cunha];[Patiently Waiting];10;2021-01-07
[Adriana Cunha];[Pax Deorum];8;2020-10-18
[Adriana Cunha];[Peace Like a River];5;2021-10-02
[Adriana Cunha];[Peace on Earth];5;2023-06-20
[Adriana Cunha];[Pearl];5;2025-09-30
[Adriana Cunha];[Pearly];5;2025-12-23
[Adriana Cunha];[Penny Lover];7;2024-08-05
[Adriana Cunha];[People Need Love];9;2023-03-07
[Adriana Cunha];[Perfect Circle];5;2024-04-28
[Adriana Cunha];[Perfect Symmetry];5;2023-01-22
[Adriana Cunha];[Pernambucobucolismo];8;2022-03-20
[Adriana Cunha];[Persuasion];9;2025-01-30
[Adriana Cunha];[Pet Sematary];9;2020-12-09
[Adriana Cunha];[Phantom Lord];7;2022-05-07
[Adriana Cunha];[Philadelphia];5;2023-05-06
[Adriana Cunha];[Photographs];5;2023-08-02
[Adriana Cunha];[Physical];5;2020-10-30
[Adriana Cunha];[Piano & I];5;2023-03-20
[Adriana Cunha];[Piece of My Heart];8;2025-05-01
[Adriana Cunha];[Piggy Bank];5;2022-08-27
[Adriana Cunha];[Pilgrim];5;2023-06-04
[Adriana Cunha];[Pinhead];5;2022-09-14
[Adriana Cunha];[Pink];5;2025-07-26
[Adriana Cunha];[Pitch Black Water];7;2025-08-27
[Adriana Cunha];[Planet Telex];8;2024-06-23
[Adriana Cunha];[Plaster Caster];6;2025-06-21
[Adriana Cunha];[Please];5;2021-03-11
[Adriana Cunha];[Please Be With Me];5;2025-01-04
[Adriana Cunha];[Please Don't Touch];5;2021-12-01
[Adriana Cunha];[Please Love Me];5;2022-01-23
[Adriana Cunha];[Pledging My Time];10;2023-01-18
[Adriana Cunha];[Po' Boy];5;2021-08-21
[Adriana Cunha];[Poison Heart];5;2021-09-04
[Adriana Cunha];[Poison Prince];5;2024-02-29
[Adriana Cunha];[Poker Face];5;2020-08-30
[Adriana Cunha];[Polly];7;2022-05-30
[Adriana Cunha];[Poor Twisted Me];5;2020-12-03
[Adriana Cunha];[Porcelain];9;2022-01-19
[Adriana Cunha];[Portsall (Departure Song)];5;2022-06-02
[Adriana Cunha];[Pose];10;2020-11-26
[Adriana Cunha];[Positive Vibration];5;2025-03-24
[Adriana Cunha];[Positively 4th Street];5;2025-11-15
[Adriana Cunha];[Pour que tu m'aimes encore];7;2023-10-13
[Adriana Cunha];[Power Of Soul];5;2024-02-22
[Adriana Cunha];[Powerslave];5;2023-12-24
[Adriana Cunha];[Praeludium II];5;2025-04-04
[Adriana Cunha];[Precious Love];6;2021-12-01
[Adriana Cunha];[Prelude to a Kiss];8;2024-10-28
[Adriana Cunha];[Pretend That You're Alone];8;2026-01-04
[Adriana Cunha];[Pretty Persuasion];5;2021-05-25
[Adriana Cunha];[Prince Charming];10;2021-12-19
[Adriana Cunha];[Privacy];6;2022-08-31
[Adriana Cunha];[Procession];5;2023-12-06
[Adriana Cunha];[Prostitute];7;2022-03-26
[Adriana Cunha];[Prove Yourself];5;2022-12-01
[Adriana Cunha];[Prowler];6;2022-11-05
[Adriana Cunha];[Pry];9;2022-02-06
[Adriana Cunha];[Psycho Circus];5;2022-12-16
[Adriana Cunha];[Pulk/Pull Revolving Doors];5;2020-10-20
[Adriana Cunha];[Punky Reggae Party];6;2024-03-13
[Adriana Cunha];[Purgatory];7;2022-03-09
[Adriana Cunha];[Purify];6;2022-01-26
[Adriana Cunha];[Put Yer Money Where Yer Mouth Is];9;2021-07-17
[Adriana Cunha];[Put Your Dreams Away];5;2022-04-16
[Adriana Cunha];[Que Maravilha];5;2024-12-13
[Adriana Cunha];[Question Existing];5;2021-02-03
[Adriana Cunha];[Radio Free Europe];5;2024-11-02
[Adriana Cunha];[Radio Song];9;2021-05-01
[Adriana Cunha];[Rag Doll];5;2023-08-28
[Adriana Cunha];[Rainmaker];6;2023-02-28
[Adriana Cunha];[Ramble On];8;2022-09-09
[Adriana Cunha];[Rats in the Cellar];8;2025-05-12
[Adriana Cunha];[Razorbliss];10;2022-06-13
[Adriana Cunha];[Reach Out And Touch (Somebody's Hand)];5;2024-11-15
[Adriana Cunha];[Real Situation];10;2023-08-06
[Adriana Cunha];[Reality];6;2024-03-04
[Adriana Cunha];[Rearview Mirror];5;2022-06-12
[Adriana Cunha];[Rearviewmirror];6;2023-10-09
[Adriana Cunha];[Rebel Heart];5;2024-07-16
[Adriana Cunha];[Rebel's Hop];5;2022-09-04
[Adriana Cunha];[Reckless Life];7;2024-06-04
[Adriana Cunha];[Reckoner];7;2022-06-24
[Adriana Cunha];[Red Mosquito];7;2025-12-14
[Adriana Cunha];[Redemption Song];5;2024-10-16
[Adriana Cunha];[Reeferendrum];8;2025-07-20
[Adriana Cunha];[Rehab];9;2025-01-20
[Adriana Cunha];[Remember Tomorrow];8;2021-12-13
[Adriana Cunha];[Remember When];7;2021-04-11
[Adriana Cunha];[Rent];8;2022-03-11
[Adriana Cunha];[Return to Sender];5;2020-10-02
[Adriana Cunha];[Revelations];6;2023-04-14
[Adriana Cunha];[Ride On];5;2022-07-22
[Adriana Cunha];[Riding High];5;2021-04-25
[Adriana Cunha];[Riff Raff];5;2024-07-08
[Adriana Cunha];[Right By Your Side];5;2024-12-10
[Adriana Cunha];[Right Next Door to Hell];5;2023-10-18
[Adriana Cunha];[Right on Time];5;2025-11-08
[Adriana Cunha];[Ring Ring];5;2024-10-16
[Adriana Cunha];[Rio];5;2022-08-23
[Adriana Cunha];[Ripples];5;2021-12-28
[Adriana Cunha];[Rival];5;2023-08-18
[Adriana Cunha];[River Deep];6;2025-04-15
[Adriana Cunha];[River of Tears];5;2021-03-04
[Adriana Cunha];[Road To Nowhere];5;2025-03-17
[Adriana Cunha];[Road Trippin'];7;2025-04-19
[Adriana Cunha];[Roar];6;2023-04-13
[Adriana Cunha];[RoboCop];10;2024-04-20
[Adriana Cunha];[Rock 'N' Roll];5;2024-09-03
[Adriana Cunha];[Rock 'n' Roll Rebel];5;2023-12-18
[Adriana Cunha];[Rock And Roll All Nite];9;2023-12-10
[Adriana Cunha];[Rock Me Baby];8;2025-03-28
[Adriana Cunha];[Rock Out];7;2021-08-17
[Adriana Cunha];[Rock Wit U];5;2021-01-30
[Adriana Cunha];[Rock Your Body];9;2023-04-20
[Adriana Cunha];[Rock and Roll];10;2023-09-09
[Adriana Cunha];[Rock n Roll];6;2022-02-20
[Adriana Cunha];[Rocket Queen];8;2021-04-10
[Adriana Cunha];[Rodeo Clowns];9;2023-03-02
[Adriana Cunha];[Roll It Over];5;2025-02-14
[Adriana Cunha];[Roll With It];5;2020-11-11
[Adriana Cunha];[Romeo and Juliet];5;2024-10-15
[Adriana Cunha];[Ronnie];5;2023-02-27
[Adriana Cunha];[Roots];5;2022-09-03
[Adriana Cunha];[Rosalyn];7;2025-09-08
[Adriana Cunha];[Round and Around];6;2025-12-25
[Adriana Cunha];[Rubber Band];10;2025-10-30
[Adriana Cunha];[Rude Boy];10;2024-08-06
[Adriana Cunha];[Rumour Has It];6;2025-06-09
[Adriana Cunha];[Run Like Hell];7;2023-06-07
[Adriana Cunha];[Run To Me];7;2023-09-26
[Adriana Cunha];[Run to the Hills];8;2023-03-07
[Adriana Cunha];[S plica Cearense];9;2024-12-02
[Adriana Cunha];[S.O.S.];7;2023-01-18
[Adriana Cunha];[Sad Girl];7;2022-07-11
[Adriana Cunha];[Sad but True];5;2024-04-18
[Adriana Cunha];[Saferwaters];10;2023-04-23
[Adriana Cunha];[Sally's Song];10;2024-09-24
[Adriana Cunha];[Samba Pa Ti];7;2020-11-10
[Adriana Cunha];[Same Girl];8;2020-08-04
[Adriana Cunha];[Same Old Song and Dance];5;2020-11-17
[Adriana Cunha];[San Francisco Bay Blues];9;2021-08-27
[Adriana Cunha];[Save A Prayer];5;2021-02-05
[Adriana Cunha];[Save Me];5;2025-02-04
[Adriana Cunha];[Save Me From Myself];5;2024-03-28
[Adriana Cunha];[Savor];6;2021-09-09
[Adriana Cunha];[Say It];5;2021-06-27
[Adriana Cunha];[Say You];5;2023-08-06
[Adriana Cunha];[Say You Will];5;2025-09-29
[Adriana Cunha];[School];5;2025-06-19
[Adriana Cunha];[School Spirit];6;2021-08-01
[Adriana Cunha];[School Spirit Skit 1];7;2021-12-26
[Adriana Cunha];[Scoff];5;2021-07-19
[Adriana Cunha];[Search And Destroy];5;2025-06-24
[Adriana Cunha];[Season of the Witch];10;2023-02-21
[Adriana Cunha];[Seasons of Wither];10;2022-01-02
[Adriana Cunha];[Second Guessing];5;2025-02-02
[Adriana Cunha];[Seconds];9;2024-09-26
[Adriana Cunha];[Secret World];10;2025-01-02
[Adriana Cunha];[See You Soon];5;2020-11-29
[Adriana Cunha];[See-Saw];5;2022-10-05
[Adriana Cunha];[Segue - Baby Grace (A Horrid Cassette)];5;2022-09-14
[Adriana Cunha];[Self Inflicted];8;2022-07-03
[Adriana Cunha];[Selfish Girl];6;2022-01-16
[Adriana Cunha];[Separate Lives];8;2025-09-29
[Adriana Cunha];[Set the Controls for the Heart of the Sun];7;2022-12-04
[Adriana Cunha];[Setback];5;2020-12-27
[Adriana Cunha];[Seu Pensamento];6;2024-03-15
[Adriana Cunha];[Sex Machine];6;2021-08-30
[Adriana Cunha];[Sexy Bitch];9;2021-10-13
[Adriana Cunha];[Shades of Time];8;2024-01-26
[Adriana Cunha];[Shame];9;2025-10-25
[Adriana Cunha];[She Belongs to Me];5;2025-07-16
[Adriana Cunha];[She's Electric];5;2025-12-13
[Adriana Cunha];[She's Not You];10;2022-12-10
[Adriana Cunha];[Sheena Is a Punk Rocker];10;2021-09-10
[Adriana Cunha];[Sheep];5;2023-12-02
[Adriana Cunha];[Sheer Heart Attack];5;2022-05-21
[Adriana Cunha];[Shelter from the Storm];9;2020-10-26
[Adriana Cunha];[Shoot Me Again];5;2021-04-29
[Adriana Cunha];[Shoot You In The Back];7;2021-06-29
[Adriana Cunha];[Shoot to Thrill];9;2021-02-12
[Adriana Cunha];[Shot Down in Flames];6;2024-11-12
[Adriana Cunha];[Shot of Love];9;2020-10-09
[Adriana Cunha];[Shotgun Blues];7;2021-08-29
[Adriana Cunha];[Shut Up and Drive];5;2025-04-05
[Adriana Cunha];[Sight for Sore Eyes];5;2022-11-15
[Adriana Cunha];[Silver Bells];5;2022-08-14
[Adriana Cunha];[Silver Inches];8;2021-11-19
[Adriana Cunha];[Simoriah];5;2024-04-16
[Adriana Cunha];[Simple Twist of Fate];10;2023-09-21
[Adriana Cunha];[Singing Winds];5;2024-12-17
[Adriana Cunha];[Sisters Are Doin' It for Themselves];5;2021-09-09
[Adriana Cunha];[Sit Down. Stand Up];5;2023-11-17
[Adriana Cunha];[Sitting];5;2024-08-30
[Adriana Cunha];[Situations];7;2021-08-24
[Adriana Cunha];[Sk8er Boi];6;2024-10-11
[Adriana Cunha];[Skin Trade];9;2024-04-21
[Adriana Cunha];[Sky Blue];6;2025-08-20
[Adriana Cunha];[Skyscraper];5;2025-02-15
[Adriana Cunha];[Sledgehammer];5;2025-08-27
[Adriana Cunha];[Sleep Through The Static];7;2022-02-09
[Adriana Cunha];[Sleight Of Hand];5;2022-08-27
[Adriana Cunha];[Slip Slidin' Away];9;2023-06-06
[Adriana Cunha];[Slipping Through My Fingers];5;2025-02-08
[Adriana Cunha];[Sliver];7;2022-03-19
[Adriana Cunha];[Slow Down Baby];5;2025-08-23
[Adriana Cunha];[Small Axe];9;2024-08-18
[Adriana Cunha];[Smooth Criminal (Radio Edit)];8;2022-11-25
[Adriana Cunha];[Snapshot];5;2022-06-07
[Adriana Cunha];[Snowed Under];5;2022-08-08
[Adriana Cunha];[So Cruel];8;2022-08-10
[Adriana Cunha];[So Fine];7;2023-01-07
[Adriana Cunha];[So Hard];8;2022-09-21
[Adriana Cunha];[So Jah Seh];5;2022-04-18
[Adriana Cunha];[So Much Things To Say];9;2023-07-25
[Adriana Cunha];[So Simple];7;2026-01-03
[Adriana Cunha];[So Tired];7;2025-07-03
[Adriana Cunha];[Soar];5;2025-02-24
[Adriana Cunha];[Social Disease];10;2023-03-14
[Adriana Cunha];[Soldier Of Love];5;2020-08-18
[Adriana Cunha];[Some Might Say];8;2020-08-11
[Adriana Cunha];[Some Unholy War];5;2020-11-30
[Adriana Cunha];[Someday We'll Be Together];5;2020-09-05
[Adriana Cunha];[Someone Like You];5;2022-11-15
[Adriana Cunha];[Something Stupid];7;2020-12-17
[Adriana Cunha];[Somewhere Along the Way];9;2021-10-04
[Adriana Cunha];[Son Of Man];6;2025-01-06
[Adriana Cunha];[Soon Forget];5;2022-07-08
[Adriana Cunha];[Sorry];5;2024-02-17
[Adriana Cunha];[Soul Rebel];8;2021-09-27
[Adriana Cunha];[Soul Sacrifice];5;2023-12-18
[Adriana Cunha];[Sound and Vision];5;2021-12-30
[Adriana Cunha];[Sounds Like a Melody];6;2025-01-30
[Adriana Cunha];[Sowing The Seeds Of Love];5;2023-09-03
[Adriana Cunha];[Space Oddity];5;2022-05-10
[Adriana Cunha];[Spaceship];10;2021-04-06
[Adriana Cunha];[Spank Thru];6;2025-10-01
[Adriana Cunha];[Sparks];8;2024-08-26
[Adriana Cunha];[Speak to Me];5;2025-11-08
[Adriana Cunha];[Spectre];10;2025-10-31
[Adriana Cunha];[Speechless];5;2021-08-04
[Adriana Cunha];[Speed Demon];5;2022-05-02
[Adriana Cunha];[Spiderman];7;2024-08-01
[Adriana Cunha];[Spineless];5;2025-02-09
[Adriana Cunha];[Spiralling];5;2021-04-09
[Adriana Cunha];[Spread Your Wings];6;2021-04-02
[Adriana Cunha];[Spring Is Here];5;2025-02-08
[Adriana Cunha];[Squirt];5;2026-01-20
[Adriana Cunha];[St. Anger];9;2025-05-28
[Adriana Cunha];[St. Louis Blues];5;2022-08-04
[Adriana Cunha];[Stagnation];5;2022-05-22
[Adriana Cunha];[Stain];5;2024-10-17
[Adriana Cunha];[Staircase];8;2021-07-23
[Adriana Cunha];[Stairway to Heaven];8;2023-05-29
[Adriana Cunha];[Stand];8;2022-09-16
[Adriana Cunha];[Stand By Me];5;2022-04-19
[Adriana Cunha];[Staple It Together];8;2021-04-08
[Adriana Cunha];[Star];8;2022-10-02
[Adriana Cunha];[Star Spangled Banner];7;2025-09-09
[Adriana Cunha];[Stars And Midnight Blue];5;2021-11-14
[Adriana Cunha];[Starstruck];8;2022-05-16
[Adriana Cunha];[Start Of The Breakdown];5;2022-12-19
[Adriana Cunha];[Start Over];8;2020-09-25
[Adriana Cunha];[Stay (Faraway];7;2025-05-09
[Adriana Cunha];[Stay Away];7;2023-08-03
[Adriana Cunha];[Stay Clean];9;2025-01-07
[Adriana Cunha];[Stayin' Alive];5;2022-07-13
[Adriana Cunha];[Staying Power];5;2024-10-12
[Adriana Cunha];[Steady Rollin' Man];5;2022-06-08
[Adriana Cunha];[Steamroller];10;2024-03-07
[Adriana Cunha];[Still Dirrty];5;2022-10-05
[Adriana Cunha];[Still Life];5;2025-06-05
[Adriana Cunha];[Still Running];5;2020-12-29
[Adriana Cunha];[Stir It Up];5;2022-10-04
[Adriana Cunha];[Stone Dead Forever];5;2022-09-11
[Adriana Cunha];[Stone Free];5;2021-06-05
[Adriana Cunha];[Stop Crying Your Heart Out];5;2025-05-12
[Adriana Cunha];[Stop Messin' Around];6;2022-05-28
[Adriana Cunha];[Stop The Train];6;2023-01-31
[Adriana Cunha];[Stop the World];6;2021-12-09
[Adriana Cunha];[Stories For Boys];5;2024-12-15
[Adriana Cunha];[Straight To The Bank];5;2025-06-16
[Adriana Cunha];[Straighten Up and Fly Right];5;2021-10-08
[Adriana Cunha];[Strange World];9;2024-11-10
[Adriana Cunha];[Stranger In a Strange Land];5;2021-10-24
[Adriana Cunha];[Strangers Like Me];5;2022-11-07
[Adriana Cunha];[Strawberry Swing];8;2025-06-27
[Adriana Cunha];[Street Lights];5;2021-01-17
[Adriana Cunha];[Street Spirit (Fade Out)];5;2023-11-08
[Adriana Cunha];[Street of Dreams];10;2024-04-03
[Adriana Cunha];[Stronger];5;2025-10-10
[Adriana Cunha];[Stronger Than Me];6;2024-11-03
[Adriana Cunha];[Stuck on You];10;2025-04-09
[Adriana Cunha];[Subterranean Homesick Blues];5;2025-09-09
[Adriana Cunha];[Suburbia];8;2021-12-24
[Adriana Cunha];[Suffragette City];10;2022-04-03
[Adriana Cunha];[Suga Mama];5;2025-07-27
[Adriana Cunha];[Sultans of Swing];5;2021-12-22
[Adriana Cunha];[Sum];10;2020-09-16
[Adriana Cunha];[Sumiregusa (Wild Violet)];5;2021-03-29
[Adriana Cunha];[Summer Days];5;2022-07-04
[Adriana Cunha];[Summer Love];5;2025-11-28
[Adriana Cunha];[Summer Wind];8;2023-05-05
[Adriana Cunha];[Sun Is Shining];5;2024-06-01
[Adriana Cunha];[Sunday Bloody Sunday];5;2023-12-01
[Adriana Cunha];[Sunday Morning Call];9;2022-08-06
[Adriana Cunha];[Super Trouper];5;2024-10-07
[Adriana Cunha];[Supercollider];9;2025-10-01
[Adriana Cunha];[Supersonic];7;2022-07-19
[Adriana Cunha];[Superwoman];9;2022-11-07
[Adriana Cunha];[Supposed To Be];7;2022-09-16
[Adriana Cunha];[Sure Know Something];5;2023-09-06
[Adriana Cunha];[Surrendering];6;2020-09-01
[Adriana Cunha];[Suspicion];6;2022-08-22
[Adriana Cunha];[Suspicious Minds];5;2024-03-09
[Adriana Cunha];[Swallowed Whole];5;2025-04-27
[Adriana Cunha];[Sweet Angel];9;2024-08-21
[Adriana Cunha];[Sweet Lady];5;2022-03-31
[Adriana Cunha];[Sweetest Thing];7;2025-07-13
[Adriana Cunha];[Sweetheart Like You];7;2025-11-11
[Adriana Cunha];[Switch / Twitch];5;2021-12-26
[Adriana Cunha];[Symbol In My Driveway];10;2025-02-10
[Adriana Cunha];[T.N.T.];6;2025-10-05
[Adriana Cunha];[Tailgunner];10;2025-09-06
[Adriana Cunha];[Take It Easy];5;2021-04-08
[Adriana Cunha];[Take Me Away];5;2020-09-26
[Adriana Cunha];[Take Me Home];6;2024-04-27
[Adriana Cunha];[Take Your Pain Away];7;2025-07-27
[Adriana Cunha];[Take a Chance on Me];7;2024-06-28
[Adriana Cunha];[Talk Of The Town];5;2021-02-02
[Adriana Cunha];[Talk Show Host];5;2026-01-07
[Adriana Cunha];[Talkin' Blues];7;2020-10-17
[Adriana Cunha];[Talkin' World War III Blues];6;2023-05-24
[Adriana Cunha];[Tangerine];7;2023-12-28
[Adriana Cunha];[Taylor];9;2024-01-08
[Adriana Cunha];[Tear];7;2021-02-14
[Adriana Cunha];[Tear It Up];5;2025-02-17
[Adriana Cunha];[Tear Ya Down];5;2021-01-28
[Adriana Cunha];[Tearjerker];6;2021-09-20
[Adriana Cunha];[Teddy Bear];7;2022-09-22
[Adriana Cunha];[Teeth];5;2022-05-29
[Adriana Cunha];[Tell Me That It Isn't True];5;2026-01-20
[Adriana Cunha];[Tell You Something (Nana's Reprise)];6;2021-12-18
[Adriana Cunha];[Telling Lies];9;2023-03-25
[Adriana Cunha];[Temple Of Love];6;2022-08-01
[Adriana Cunha];[Tempus Vernum];8;2020-10-25
[Adriana Cunha];[Tequila Sunrise];10;2022-05-17
[Adriana Cunha];[Territorial Pissings];8;2021-01-04
[Adriana Cunha];[Thank You For Loving Me];9;2022-10-26
[Adriana Cunha];[Thank You for the Music];5;2023-07-07
[Adriana Cunha];[That I Would Be Good];5;2023-12-10
[Adriana Cunha];[That's How Strong My Love Is];5;2024-01-18
[Adriana Cunha];[That's Me];5;2022-07-20
[Adriana Cunha];[That's the Way];8;2021-12-27
[Adriana Cunha];[That's the Way It Is];6;2023-01-31
[Adriana Cunha];[The Aftermath];5;2020-11-05
[Adriana Cunha];[The Apologist];6;2024-01-22
[Adriana Cunha];[The Battle of Evermore];5;2021-03-19
[Adriana Cunha];[The Best Damn Thing];10;2020-11-21
[Adriana Cunha];[The Boss];5;2023-03-29
[Adriana Cunha];[The Boy In The Bubble];10;2021-05-02
[Adriana Cunha];[The Butcher];5;2023-03-02
[Adriana Cunha];[The Call of Ktulu];5;2025-10-18
[Adriana Cunha];[The Calling];5;2020-11-01
[Adriana Cunha];[The Christmas Song];9;2020-10-05
[Adriana Cunha];[The Coast];6;2024-05-24
[Adriana Cunha];[The Core];10;2025-07-19
[Adriana Cunha];[The Crunge];5;2025-05-06
[Adriana Cunha];[The Duelists];5;2024-07-24
[Adriana Cunha];[The Evil That Men Do];7;2025-01-06
[Adriana Cunha];[The Fallen Angel];8;2022-01-14
[Adriana Cunha];[The Fame];5;2022-11-12
[Adriana Cunha];[The First Cut Is The Deepest];5;2021-10-10
[Adriana Cunha];[The First Time];5;2024-12-01
[Adriana Cunha];[The Fugitive];5;2024-09-07
[Adriana Cunha];[The Girl Is Mine];10;2020-11-27
[Adriana Cunha];[The Girl from Ipanema];8;2021-09-25
[Adriana Cunha];[The Gloaming];5;2022-05-08
[Adriana Cunha];[The Great Beyond];5;2021-03-03
[Adriana Cunha];[The Great Gig in the Sky];5;2021-08-17
[Adriana Cunha];[The Hammer];6;2024-08-19
[Adriana Cunha];[The Hardest Part];5;2021-01-16
[Adriana Cunha];[The Heathen];6;2024-11-17
[Adriana Cunha];[The Hindu Times];5;2022-02-08
[Adriana Cunha];[The Hitman];5;2025-08-12
[Adriana Cunha];[The Hurting];9;2024-12-05
[Adriana Cunha];[The Jet Set];7;2022-01-22
[Adriana Cunha];[The Judas Kiss];7;2023-07-31
[Adriana Cunha];[The Knife];5;2022-03-26
[Adriana Cunha];[The Lady Is a Tramp];5;2020-11-28
[Adriana Cunha];[The Lamb Lies Down on Broadway];5;2021-04-20
[Adriana Cunha];[The Last Resort];10;2022-03-27
[Adriana Cunha];[The Living Daylights];7;2023-12-19
[Adriana Cunha];[The Long Run];8;2020-10-12
[Adriana Cunha];[The Longest Day];7;2022-02-17
[Adriana Cunha];[The Magic of the Night];9;2022-09-14
[Adriana Cunha];[The Man In Me];9;2023-11-12
[Adriana Cunha];[The Memory Remains];6;2021-01-10
[Adriana Cunha];[The More I See];5;2022-08-10
[Adriana Cunha];[The National Anthem];9;2023-04-01
[Adriana Cunha];[The Nearness Of You];8;2023-11-29
[Adriana Cunha];[The News];5;2022-08-27
[Adriana Cunha];[The Number of the Beast];10;2021-08-02
[Adriana Cunha];[The Numbers];5;2025-10-19
[Adriana Cunha];[The Ocean];5;2024-02-18
[Adriana Cunha];[The One I Love];5;2023-09-21
[Adriana Cunha];[The One That Got Away];5;2024-07-19
[Adriana Cunha];[The Other Woman];10;2025-10-16
[Adriana Cunha];[The Payback];5;2022-02-20
[Adriana Cunha];[The Piper];5;2025-10-24
[Adriana Cunha];[The Power Of Love];8;2024-03-29
[Adriana Cunha];[The Power of Good-Bye];5;2022-03-24
[Adriana Cunha];[The Prettiest Star];5;2020-12-05
[Adriana Cunha];[The Prince];5;2025-02-18
[Adriana Cunha];[The Prophecy];5;2023-06-02
[Adriana Cunha];[The Red];5;2022-02-20
[Adriana Cunha];[The Return of the Giant Hogweed];10;2023-09-17
[Adriana Cunha];[The Right Man];8;2020-08-30
[Adriana Cunha];[The Road To Home];10;2022-06-11
[Adriana Cunha];[The Rover];9;2025-03-05
[Adriana Cunha];[The Scientist];9;2020-10-30
[Adriana Cunha];[The Sense];5;2021-01-21
[Adriana Cunha];[The Sharing Song];5;2023-04-15
[Adriana Cunha];[The Show Must Go On];5;2023-06-18
[Adriana Cunha];[The Spirit of Christmas Past];7;2023-08-26
[Adriana Cunha];[The Sun In The Stream];8;2025-06-12
[Adriana Cunha];[The Swamp Song];5;2020-11-25
[Adriana Cunha];[The Thin Ice];7;2022-06-04
[Adriana Cunha];[The Thrill Is Gone];5;2022-08-15
[Adriana Cunha];[The Tourist];8;2023-03-08
[Adriana Cunha];[The Trial];9;2025-08-07
[Adriana Cunha];[The Trickster];5;2021-11-02
[Adriana Cunha];[The Unforgettable Fire];5;2025-09-02
[Adriana Cunha];[The Unforgiven];7;2025-09-15
[Adriana Cunha];[The Unforgiven III];8;2023-11-09
[Adriana Cunha];[The Very Thought Of You];10;2024-02-24
[Adriana Cunha];[The Visitors];5;2020-09-06
[Adriana Cunha];[The Waiting Room];5;2022-10-05
[Adriana Cunha];[The Way You Make Me Feel];10;2022-07-25
[Adriana Cunha];[The Wicked Messenger];10;2024-12-10
[Adriana Cunha];[The Wind Cries Mary];5;2021-11-09
[Adriana Cunha];[The Winner Takes It All];5;2022-11-25
[Adriana Cunha];[The Working Hour];7;2024-07-30
[Adriana Cunha];[The World Is Mine];7;2021-03-21
[Adriana Cunha];[The World Turned Upside Down];9;2020-08-18
[Adriana Cunha];[There Must Be A Better World Somewhere];8;2023-09-27
[Adriana Cunha];[There There];6;2021-02-13
[Adriana Cunha];[There Was A Time];9;2021-03-14
[Adriana Cunha];[There Was a Time];5;2024-12-31
[Adriana Cunha];[These Colours Don't Run];8;2021-11-19
[Adriana Cunha];[They Do];7;2023-12-20
[Adriana Cunha];[Thief of Hearts];10;2020-11-15
[Adriana Cunha];[Things I Don't Understand];9;2022-09-30
[Adriana Cunha];[Things I'll Never Say];5;2025-09-27
[Adriana Cunha];[Things Left Unsaid];6;2025-09-10
[Adriana Cunha];[Think About You];7;2025-09-04
[Adriana Cunha];[Thinking of You];5;2020-09-14
[Adriana Cunha];[This Bed];5;2024-12-10
[Adriana Cunha];[This Is It];5;2021-02-09
[Adriana Cunha];[This Is Not America];5;2023-08-03
[Adriana Cunha];[This Is the Life];6;2024-07-12
[Adriana Cunha];[This Is the Place];5;2023-11-08
[Adriana Cunha];[This Little Girl of Mine];5;2025-11-13
[Adriana Cunha];[This Time Around];10;2025-09-09
[Adriana Cunha];[This Used to Be My Playground];5;2021-10-30
[Adriana Cunha];[Thorn Within];7;2024-01-02
[Adriana Cunha];[Those Shoes];5;2025-05-27
[Adriana Cunha];[Threatened];5;2022-10-10
[Adriana Cunha];[Three O'Clock Blues];5;2021-01-06
[Adriana Cunha];[Three Times A Lady];6;2024-05-27
[Adriana Cunha];[Through the Never];8;2025-08-15
[Adriana Cunha];[Throw Away Your Television];7;2021-08-03
